m,unknowns,carry_bits
7169,32,22
7597,28,18
7811,28,19
8453,33,23
8881,32,22
9523,30,21
10379,31,22
10807,28,19
11021,31,21
11449,30,20
327,4,1
545,19,13
763,6,3
1199,19,13
1417,20,13
1853,21,13
2071,22,15
2507,22,15
3161,25,17
3379,22,15
4033,26,17
4469,27,18
4687,26,18
5123,25,17
5777,28,19
6431,27,19
6649,28,19
7303,28,19
7739,27,18
7957,30,20
8611,29,20
9047,31,22
9701,31,21
10573,31,21
11009,32,22
11227,28,19
11663,28,19
11881,31,21
339,6,2
565,17,11
791,15,10
1243,19,13
1469,19,12
1921,22,14
2147,22,15
2599,20,13
3277,24,16
3503,22,15
4181,28,19
4633,30,21
4859,25,17
5311,24,16
5989,25,16
6667,27,19
6893,27,18
7571,27,18
8023,28,19
8249,33,23
8927,31,22
9379,29,20
10057,34,24
10961,34,24
11413,33,23
11639,28,19
12091,28,19
12317,34,24
12769,32,22
381,0,0
635,10,5
889,14,8
1397,19,12
1651,19,13
2159,22,15
2413,24,16
2921,23,15
3683,19,12
3937,22,14
4699,26,18
5207,24,16
5461,26,17
5969,27,18
6731,26,18
7493,25,16
7747,23,15
8509,32,22
9017,33,23
9271,30,21
10033,33,23
10541,30,20
11303,28,19
12319,32,23
12827,32,23
13081,34,24
13589,33,23
13843,32,23
14351,32,23
16129,31,21
393,13,7
655,1,1
917,17,10
1441,18,12
1703,19,12
2227,2,2
2489,17,12
3013,20,13
3799,22,14
4061,24,15
4847,17,12
5371,21,14
5633,27,19
6157,31,21
6943,28,19
7729,30,20
7991,27,18
8777,21,16
9301,25,18
9563,23,17
10349,29,20
10873,30,21
11659,28,20
12707,31,21
13231,30,20
13493,34,23
14017,35,24
14279,32,22
14803,33,23
16637,37,26
17161,20,16
411,12,6
685,17,10
959,14,8
1507,15,10
1781,21,13
2329,17,12
2603,18,12
3151,22,14
3973,24,15
4247,25,17
5069,20,14
5617,24,16
5891,24,17
6439,27,18
7261,30,20
8083,27,18
8357,31,21
9179,18,14
9727,22,16
10001,26,19
10823,28,20
11371,27,19
12193,29,20
13289,33,22
13837,34,23
14111,32,22
14659,33,23
14933,34,23
15481,35,24
17399,33,23
17947,22,17
18769,30,22
417,13,7
695,6,4
973,17,10
1529,18,12
1807,19,12
2363,14,10
2641,21,14
3197,24,15
4031,22,14
4309,27,18
5143,24,17
5699,23,16
5977,26,18
6533,29,19
7367,27,18
8201,35,25
8479,31,22
9313,25,18
9869,25,18
10147,22,16
10981,29,20
11537,31,22
12371,33,23
13483,32,22
14039,32,22
14317,32,21
14873,35,24
15151,30,20
15707,33,23
17653,37,26
18209,24,18
19043,26,19
19321,29,21
447,5,2
745,18,11
1043,18,12
1639,19,12
1937,22,14
2533,16,11
2831,18,12
3427,22,14
4321,28,19
4619,25,17
5513,26,18
6109,24,16
6407,28,19
7003,27,18
7897,30,20
8791,31,22
9089,33,23
9983,22,16
10579,28,20
10877,29,20
11771,26,18
12367,33,23
13261,34,23
14453,34,23
15049,35,24
15347,30,20
15943,32,22
16241,33,22
16837,38,27
18923,34,24
19519,26,19
20413,28,20
20711,31,22
22201,34,24
453,13,7
755,7,4
1057,22,15
1661,21,13
1963,19,12
2567,18,12
2869,20,13
3473,25,16
4379,25,17
4681,28,19
5587,22,15
6191,27,18
6493,29,19
7097,29,19
8003,27,18
8909,32,22
9211,28,19
10117,25,18
10721,29,20
11023,28,20
11929,31,22
12533,34,23
13439,32,22
14647,31,21
15251,32,22
15553,36,25
16157,34,23
16459,36,26
17063,34,24
19177,37,26
19781,29,21
20687,32,23
20989,33,23
22499,31,22
22801,35,25
471,10,5
785,19,12
1099,18,12
1727,19,12
2041,22,14
2669,20,13
2983,18,12
3611,22,14
4553,28,19
4867,25,17
5809,25,17
6437,29,19
6751,28,19
7379,27,18
8321,34,24
9263,30,21
9577,32,22
10519,28,20
11147,28,20
11461,30,21
12403,32,22
13031,31,21
13973,34,23
15229,32,21
15857,34,23
16171,30,20
16799,36,26
17113,38,27
17741,38,27
19939,34,24
20567,32,23
21509,34,24
21823,31,22
23393,34,24
23707,32,23
24649,40,28
489,13,7
815,14,8
1141,17,10
1793,22,14
2119,22,15
2771,18,12
3097,25,16
3749,24,15
4727,25,17
5053,27,18
6031,23,16
6683,29,20
7009,29,19
7661,27,17
8639,29,20
9617,33,23
9943,30,21
10921,30,21
11573,28,19
11899,27,19
12877,34,23
13529,36,25
14507,32,22
15811,33,23
16463,36,26
16789,38,27
17441,38,27
17767,34,24
18419,33,23
20701,38,27
21353,34,24
22331,31,22
22657,35,25
24287,32,23
24613,38,26
25591,36,25
26569,39,27
501,13,7
835,16,10
1169,22,15
1837,21,13
2171,22,15
2839,18,12
3173,24,15
3841,25,16
4843,25,17
5177,26,17
6179,27,18
6847,26,17
7181,31,21
7849,29,19
8851,31,22
9853,31,21
10187,29,20
11189,28,19
11857,31,22
12191,28,20
13193,35,24
13861,33,22
14863,32,22
16199,32,22
16867,34,24
17201,36,25
17869,38,27
18203,35,25
18871,34,24
21209,36,25
21877,33,23
22879,32,23
23213,33,23
24883,36,25
25217,40,28
26219,35,24
27221,39,27
27889,38,26
519,8,3
865,19,12
1211,15,9
1903,19,12
2249,25,17
2941,20,13
3287,22,14
3979,22,14
5017,28,19
5363,23,15
6401,31,21
7093,28,18
7439,28,19
8131,26,17
9169,32,22
10207,29,20
10553,31,21
11591,28,20
12283,26,18
12629,35,24
13667,31,21
14359,33,23
15397,34,23
16781,38,27
17473,39,28
17819,36,26
18511,36,26
18857,37,26
19549,38,27
21971,36,26
22663,32,23
23701,34,24
24047,31,22
25777,38,26
26123,36,25
27161,40,28
28199,35,24
28891,37,26
29929,38,26
537,11,5
895,12,6
1253,21,14
1969,22,14
2327,22,15
3043,18,12
3401,25,16
4117,27,18
5191,23,15
5549,25,16
6623,26,17
7339,26,17
7697,32,22
8413,32,22
9487,31,22
10561,31,21
10919,27,18
11993,31,22
12709,33,22
13067,32,22
14141,32,21
14857,35,24
15931,31,21
17363,35,25
18079,35,25
18437,38,27
19153,38,27
19511,35,25
20227,35,25
22733,38,27
23449,35,25
24523,32,23
24881,39,27
26671,36,25
27029,39,27
28103,36,25
29177,39,27
29893,38,26
30967,36,25
32041,38,26
543,5,1
905,18,11
1267,15,9
1991,19,12
2353,25,17
3077,24,15
3439,22,14
4163,25,17
5249,26,17
5611,23,15
6697,30,20
7421,27,17
7783,26,17
8507,30,21
9593,32,22
10679,27,18
11041,31,21
12127,28,20
12851,31,21
13213,34,23
14299,32,22
15023,31,21
16109,33,22
17557,38,27
18281,36,25
18643,36,26
19367,33,23
19729,39,28
20453,35,24
22987,36,26
23711,32,23
24797,39,27
25159,37,26
26969,40,28
27331,37,26
28417,39,27
29503,36,25
30227,36,25
31313,40,28
32399,36,25
32761,38,26
573,11,5
955,14,8
1337,18,11
2101,24,16
2483,22,15
3247,22,14
3629,24,15
4393,28,19
5539,23,15
5921,26,17
7067,27,18
7831,28,19
8213,34,24
8977,34,24
10123,30,21
11269,34,24
11651,28,19
12797,33,22
13561,35,24
13943,31,21
15089,34,23
15853,33,22
16999,34,24
18527,36,26
19291,35,25
19673,39,28
20437,37,26
20819,36,26
21583,36,26
24257,36,25
25021,38,26
26167,35,24
26549,37,25
28459,35,24
28841,39,27
29987,35,24
31133,39,27
31897,39,27
33043,40,29
34189,41,29
34571,39,28
36481,42,30
579,10,4
965,18,11
1351,17,11
2123,22,15
2509,24,16
3281,25,16
3667,22,14
4439,25,17
5597,25,16
5983,23,15
7141,27,17
7913,28,18
8299,29,20
9071,29,20
10229,30,20
11387,27,18
11773,28,18
12931,32,22
13703,33,23
14089,35,24
15247,32,22
16019,32,22
17177,38,27
18721,37,26
19493,37,26
19879,34,24
20651,35,25
21037,34,23
21809,37,26
24511,31,21
25283,37,26
26441,39,27
26827,37,26
28757,39,27
29143,37,26
30301,38,26
31459,36,25
32231,35,24
33389,41,29
34547,38,27
34933,41,29
36863,38,27
37249,43,31
