p, q, m=p*q
2,3,6
5,2,10
5,2,10
5,3,15
5,5,25
3,5,15
3,5,15
3,5,15
5,5,25
5,5,25
3,5,15
3,2,6
5,5,25
3,2,6
2,5,10
3,3,9
2,3,6
3,5,15
3,2,6
2,2,4
5,3,15
3,3,9
5,5,25
5,5,25
5,2,10
5,5,25
5,5,25
5,2,10
2,5,10
5,2,10
5,3,15
2,7,14
7,3,21
5,5,25
5,3,15
7,5,35
5,7,35
3,5,15
5,2,10
7,2,14
5,3,15
2,7,14
2,7,14
5,3,15
3,2,6
3,5,15
5,2,10
11,7,77
2,5,10
2,2,4
3,5,15
3,2,6
7,2,14
11,7,77
7,2,14
7,5,35
2,3,6
11,7,77
7,7,49
2,5,10
7,7,49
11,11,121
7,11,77
3,7,21
7,11,77
7,5,35
11,11,121
11,3,33
7,5,35
3,7,21
7,5,35
11,5,55
7,11,77
5,11,55
5,7,35
7,11,77
11,5,55
11,5,55
11,11,121
7,5,35
11,5,55
7,5,35
11,7,77
11,3,33
11,11,121
11,5,55
5,3,15
11,7,77
7,5,35
7,7,49
13,7,91
11,11,121
5,11,55
3,11,33
5,5,25
5,7,35
5,17,85
13,3,39
11,11,121
7,17,119
13,11,143
7,11,77
17,11,187
7,13,91
11,7,77
7,11,77
13,11,143
7,11,77
7,17,119
17,17,289
7,13,91
17,7,119
13,17,221
11,7,77
5,17,85
17,17,289
11,17,187
19,17,323
7,13,91
13,17,221
11,17,187
17,19,323
5,17,85
11,17,187
7,13,91
19,11,209
19,11,209
17,19,323
7,19,133
11,17,187
17,11,187
13,19,247
7,11,77
11,17,187
13,11,143
11,13,143
11,19,209
23,23,529
11,11,121
23,17,391
11,23,253
17,13,221
11,17,187
13,23,299
11,23,253
29,11,319
29,7,203
23,23,529
29,11,319
17,11,187
7,11,77
13,17,221
23,11,253
11,13,143
17,29,493
17,11,187
23,7,161
13,17,221
29,17,493
11,19,209
29,13,377
23,29,667
29,23,667
19,17,323
23,13,299
29,29,841
23,11,253
23,29,667
19,23,437
31,11,341
19,11,209
11,23,253
29,31,899
19,13,247
17,11,187
17,23,391
17,13,221
37,31,1147
29,37,1073
23,13,299
29,31,899
17,19,323
23,11,253
23,29,667
13,23,299
23,29,667
23,37,851
37,19,703
31,17,527
37,37,1369
