p, q, m=p*q
5,17,85
7,17,119
19,7,133
11,23,253
19,29,551
47,29,1363
41,37,1517
47,41,1927
89,61,5429
89,149,13261
179,89,15931
151,107,16157
131,359,47029
307,173,53111
383,383,146689
331,617,204227
443,521,230803
547,587,321089
907,937,849859
1213,797,966761
1811,1367,2475637
1613,2039,3288907
2593,2591,6718463
4909,3847,18884923
3491,6547,22855577
4513,6779,30593627
8053,4231,34072243
5683,6421,36490543
16741,8219,137594279
8423,25391,213868393
13469,17443,234939767
15451,42337,654148987
39097,28477,1113365269
30911,40423,1249515353
32003,91733,2935731199
80429,100237,8061961673
128591,118147,15192640877
103643,200891,20820945913
305717,102953,31474482301
251857,204583,51525660631
356467,254071,90567927157
218797,433141,94769951377
502487,251473,126361913351
373229,405401,151307409829
393797,863279,339956680363
874537,462697,404645646289
1922983,707501,1360512395483
903607,1786979,1614726733253
1222049,1399319,1710036384631
2530921,2641517,6685470847157
1908133,6846641,13064301631253
4916867,3042731,14960703643777
8641541,6113663,52831469474683
11809277,4854617,57329516881909
11462309,5448167,62448573637603
9534761,25296839,241199313920479
15085781,19172249,289228349691469
21889061,18451529,403886643824269
19303939,28954967,558944916715013
28105373,40800829,1146722517754217
45151709,33440549,1509897937248241
75198161,41223493,3099930863596373
85732357,72435089,6210030909474773
117768097,88998181,10481146412831557
190116761,158834579,30197115694278619
193422851,186376079,36049392558381229
278134261,130521379,36302467292865919
263253461,234808733,61814211635274913
184246133,680778907,125430881042716631
463839359,304661807,141314137270661713
371727929,464068849,172507352152183721
402931759,929223979,374413852363449061
1109371429,645308561,715886880462503669
938730847,839131123,787718269837851181
2141929313,1045438657,2239255704371652641
2340991441,1376469791,3222303999526058831
3229630367,2748903541,8877942351967429547
3038757929,4226040347,12841913612720161363
5315717977,2732034203,14522723326665967331
8506633727,4708873471,40056661884584156417
11209644449,5203478089,58329139275851977961
6704177903,9145935541,61315978956234550523
14304102877,14815917217,211928404089083533309
17749061483,18284107397,324525746351128089751
30033004091,31157428499,935751177575506989409
32321392387,30790203407,995182245993191262509
28395658157,38065924199,1080906970985078041243
44393852911,32328820211,1435200889233297984221
69709585073,45364684793,3162353353887462894889
37096043819,120283087853,4462026697679514630607
131210002543,56684440859,7437565629257923104437
142779928703,81437305511,11627612674625008982233
178191708139,129286362691,23037757806987570642049
187363185439,168061916777,31488616078322836210103
444224503447,218272933883,96962185670095536594701
335988495877,312658189331,105049554756948978888287
436937860573,422344608131,184538349501301200119063
427357541917,530847375403,226861629485317007267551
932701917311,1115047920043,1040007332917748725564373
1284764630351,897028332209,1152470273644869912275359
1550743923457,1494791403883,2318038686407320524583531
1092228186409,2257582790861,2465795557330278769608149
2192352554729,2067638603557,4532992774764490976571053
1409568405131,4332357312707,6106753987730031030299617
1826649418177,3866848996289,7063377469249618282145153
4396423494049,3213283825579,14126956503823164660479371
8251459136273,7254621395171,59861211991385325873137683
11144128260407,9228443742773,102842960713412736668288611
13264456325279,9154094860453,121424091473939780681291387
13785318685223,9391805036381,129469025455994476602097963
18820136078251,12361553405129,232646117223094793048749379
24612025107217,18697278091111,460177877815042274869648087
37354192891297,34293732288037,1281014690849834108234513989
30685421312047,44278946216243,1358718119898885823242979421
32651549470559,51901242743099,1694655995009788294300922341
88292514147319,38112615608437,3365058652799254759437330403
101754489226913,92900688478357,9453062104943778019262421941
145497746724079,98291293677757,14301161752708355470618610803
82855174309769,190715863134373,15801796083636522503173589837
127293392357429,132678384941449,16889081711701867056245174621
252843431261297,100106931226439,25311379984331515480883831383
110018857455971,344758804443517,37929969762762278220983890007
468454276194127,176245711484041,82563057205575363442578427207
239657111809727,634971148932503,152175351635667686490501856681
560694066899831,319928568192067,179382050017049958619257840677
469904979898469,546214513290871,256668919888198765688644576499
668268074934947,1261697831428117,843152380958065019436881704799
781701701537987,1289225148970657,1007789492615927346206833847459
1503302925084671,1084138917060973,1629789205215888240492494644883
1171635104727079,1391889804439319,1630786956792815025376111619201
2662538311505659,2540729780656433,6764790380181122471261614254347
5002641728784977,1885029143056517,9430125451030317928170451545109
8051307274902571,2521054537807097,20297784740672418800166667346387
3631944380076937,5997421213913977,21782300272829070164534159648449
9841411071061103,5292775142063753,52088375879743221001514984499559
12706990367813177,5705580931134373,72500761934703015278421947033021
9982107691031081,10115639014591637,100975398007249245098192689669597
24669883855708057,8854959344616149,218450818578697131336045271612493
18924684133093169,11965047658199173,226434747568825468152088767749237
22598509155025523,12759138230305163,288337502107787375984319343675249
31114403533985071,22259022926343089,692576221602464125124809150024319
53644466911124893,41765136774794533,2240468497754070757569411976609969
66436323138841517,51434284500605731,3417104745497350126240800110933927
48819574941082711,79994855501088551,3905314843036475077114951026141761
138048756330570167,62841060261657049,8675130215616169898234078384657183
81262532769404719,175492465114160357,14260962197123070471621776398524683
125109399837268117,186138522709525109,23287678862784388372565316976649753
237571547539964839,239281434962483261,56846460801620596782581012066059979
