p, q, m=p*q
17,7,119
17,11,187
11,23,253
23,17,391
29,19,551
17,53,901
37,41,1517
41,53,2173
79,37,2923
47,137,6439
79,163,12877
173,97,16781
107,307,32849
223,181,40363
223,307,68461
389,467,181663
647,311,201217
631,353,222743
907,379,343753
1471,1361,2002031
1861,1171,2179231
1663,2143,3563809
4099,1847,7570853
2591,3251,8423341
5351,2521,13489871
3371,6449,21739579
10267,6659,68367953
15551,7283,113257933
14197,11863,168419011
20161,16981,342353941
19819,27773,550433087
24317,29387,714603679
50077,26171,1310565167
39461,34123,1346527703
52433,52541,2754882253
49037,69941,3429696817
61757,103409,6386229613
124759,66713,8323047167
111487,99901,11137662787
153133,129341,19806375353
104459,296827,31006251593
282959,260527,73718459393
280909,380867,106988968103
462307,352441,162935941387
420967,404819,170415439973
890467,376127,334928681309
743333,1726471,1283342867843
640621,2109161,1351172828981
1754749,2604731,4570649117519
2559041,2996263,7667559863783
2881621,3632141,10466453780561
3169583,3445667,10921327546861
7717607,2670923,20613134041261
4700567,8900351,41836696199017
8473097,9168349,77684310406853
18517249,6363509,117834680666741
13870501,16179239,224414150728739
25152079,9206521,231563143507159
11799107,30451051,359295209011457
20303027,43044931,873942396306137
31128847,29544863,919697519962961
59826023,24160159,1445406228017657
64934159,47438591,3080385010729969
111820829,106268423,11883023156382667
114979871,116213077,13362164601973067
145342081,147775651,21478020637469731
179172449,140717963,25212782049001387
261307481,115311043,30131638177812683
211933957,168650161,35742695969417077
386918183,151658123,58679285388350509
361334627,286165393,103401465539963411
314389787,748660763,235371297814827481
575571077,714820541,411430028645092657
1070479297,923386427,988466053234301819
1060493381,1698574123,1801326614579379863
1667088509,2479212907,4133067348624185663
2218423297,1939451347,4302524051582831059
2632112657,3112439221,8192290667737320197
3970273247,3341589677,13267024097044471219
6813261239,3780507337,25757584102937210543
4247203951,10547898983,44799078235346481833
9114382337,4969008043,45289439139530136491
11690369599,10905034279,127483881211274484121
17971659359,7694450447,138282042388189283473
17231858159,11041307923,190262252018978893757
18990073169,19082077723,362370052176314914187
22320549473,27529031357,614463106347686824861
57562125961,27736832323,1596591035935662237403
40275101807,49139668793,1979105163400335808951
29563560011,87799017659,2595651527468695234249
57354645251,63409187857,3636811475192251917107
95247289519,67887370513,6466088033935334553247
159637865141,76302462283,12180762183859792976903
181763369741,91560992707,16642434571255445478887
183501130613,94355495567,17314340116094409492571
120979826413,164757983459,19932392239025745302567
300751942817,141973935139,42698936822428994946563
596823813203,249269245759,148769821768122115956077
392210836309,747448523287,293157410416321331627683
542546400881,818559704437,444106621548509476408997
764900979137,734668815137,561948896039710946796769
1069228788079,1543010611277,1649831365888743680566883
1920975460231,1243710793763,2389137914443141249339253
948587171461,2978289738467,2825167438803732976290287
2313584531341,2388126981077,5525133642297828220434257
3126755833541,2759605810651,8628613566726654520845191
3617181056689,3582121313489,12957181357914329649377921
4423443051233,6280039870033,27779398724563666280400689
10110665342009,4172549106083,42187247634704022417340747
6762845263387,9921047646647,67094510084963407222413389
12197919872863,5630391423809,68679063440477202831195167
7376912075321,12971984255663,95693187296474278776792823
14419632008203,11508351931277,165946199869906640956265231
15397764216137,27679093893751,426196161492295289677659887
21544559413639,23083814894351,497330621484789995293453289
34225862715409,28638896018263,980190923441942879235514567
63268342558783,40488011422961,2561609376231815687618416463
63631268172389,51185874627143,3257022115038018048422554627
76225442788163,106307512073881,8103337179539563519088270603
138700299353507,77258057173387,10715715657419135759905518209
94683270793129,143481426209201,13585290731550134855147379929
156443893124977,120453576580721,18844226461115548627181768417
172885138890461,256716228907517,44382420890111455691562495337
147500161469779,301627158499697,44490054582375930844046156963
243884920653961,270663343253309,66010707993269075817557206949
387850875507631,649937017128913,252078641118267072791042235103
760149775994173,612808320580493,465826107616627109835545467289
423825396022159,1272760769486681,539428337169160397441731364279
1266497017146139,484062189092627,613063318599042396445466417153
961844016322811,2061906000777473,1983231949067909690668544836603
2695213211565131,1041785330978033,2807833587666747278274909767323
3131164408360459,2386821613337299,7473530884787240059575941460241
2183681568842671,4101992881658401,8957446251201285979632734429071
4485257641969259,2912363562509981,13062700924940708013249682674079
2560053654552617,6241876148802533,15979537846006739202828391378861
4877692121384059,6250677093446309,30488878412018870939663284988231
11094125062064591,11226888303448847,124552502896291670480111578476577
8675629815280433,15490374255257393,134388752738763471333496891491169
13680944459073127,11811579863436211,161593568085577352981078348801797
15771896342592857,11164170863676167,176080145612895875825607575339119
20190582460178917,19276557439808957,389204922536838136782552519159569
20550144413308061,23701861832629507,487076683524810823633016069555927
32099860958912231,34010651742843031,1091737192067247237569309139012161
43491879248674099,41252128029235283,1794132570998345160269486659035017
61752000296465377,40808837982827737,2520027375213985952734944575761849
74399608252870157,107426115420411787,7992460903406250823639145583340559
73992793282196651,153112783602118321,11329242545933250045066059691942971
140792495488549469,114367983663994987,16102153824047513576867990317511903
200797031926322339,87892967097049937,17648646920285535071326384641642643
185595414570270139,104071347221438327,19315164832449377620919276518217453
245537915828293531,244122399829518013,59941305261141212917948168015873903
427145046203621441,142170954794661347,60727619054578596302371764583141027
409578231424652401,181974579363923393,74532826380120790572312904617516593
275385555929164969,625107629775505607,172145612141290248431328029287481183
805692034193614801,967821024869748853,779765690262657013576509477093573253
865433852504818381,1076366709551000789,931524188154657502957142683232702609
1521194213043774403,1272543482481229327,1935785781397017764595441423495516781
1269195236058018769,1627023008148235417,2065009850898527445130311000416541673
1671179106956286203,1885448254964502961,3150921730943866272791313302356947083
1475716122065469217,2267953351068218491,3346855324263777079074174280190691547
4095199838786073581,4797582461919337789,19647058924614966108563808170947852409
4864700102334225613,4792817938170587177,23315621914287767646734252651802764501
3868386618173341837,6519058301589608119,25218237896961073716911394233457574603
10662805028407028681,4720307732376829429,50331721024416235856463010889447853149
8918089726560919087,6682789030204565147,59597712195041340037194339827487260789
10766208365307831727,11561102996190429491,124469243789770839420289066546086260957
18792321625979589283,8481101071743038147,159379579082635367930987323173661378601
24915717071559569459,10485103615904197711,261243875159855189766432280189973308349
20693837185520505571,20302732815696894089,420141447309155824125049649085721469819
47983776513426476231,16321702300807912223,783176915520645577531305605058843871513
27846934864893242149,38333378864867418433,1067467104401238248815269301553175132517
27520035887611896971,46667239136575403443,1284284095814321539305466503620874671153
60167757123499587581,34486300135198313323,2074963330622723106719702748037317641663
62324559399700713937,43279728987666792199,2697390040094787838117606350806922177463
165702145675243385881,153160448156536810247,25379014892120024825657160269195895922607
235320346138864399619,130773596993554468687,30773688110347594373798010408994790230253
288597446354952089011,112291764857611332179,32407116584597380642458154154442696584969
170053647113374675163,204250288803201776743,34733506534944537557038869193582073134109
296856636601162518931,199638233614826510827,59263934567894541122545340849317063965937
434202128244435645917,244988556769803442279,106374552744981396895567497206597391524843
509900990160439247687,311520978334203410447,158844855308359061250959464162546356386089
619108503521144775161,889757761449652149343,550856596187417860588910806320018128869223
849536322985885564723,1005813025311893506943,854474699134775455209402906946936476371789
1099445324131887119017,890614849212250351141,979182331568834358695694085439333108748397
959068864586230314617,1048912775904778846471,1005979585036987287080621698944500670166607
1769256034473654909331,1027685059905390992111,1818237993776032555791944421580439841287741
1291472498321480682817,2819217759925112903957,3640942203722773905475919349735914101206869
2134846357955167969999,2538637170886347726113,5419600318436330817207089041435583852883887
2966546921736164636437,2007496162411051051237,5955331560997667114970939693761932764122569
4884902418949129446577,3467289653481729612497,16937371615490189812840070446036030273072769
6413035969460032359299,7257890769558760156361,46545114567592283756041708312753028972350939
14744468743645573038971,6512129472469249854331,96017889461395988719555321383742162736133401
11434483843131614647961,12613322049921755935441,144226827188046055599208636354801029458285801
11785928320643195957423,18047562062790966906307,212707272834413794061354306717058039202166861
18387940758031402350491,13902341436329946991933,255635430729160260427373493261374131215589103
19593195307621686312421,13111467130116706478773,256895536249838631392743045760465026082739433
24651379329469374315487,24026130360379668605839,592277253332999931753554408879328584236328593
32666617368756385631041,47775013243061407842611,1560648077398356124461813037953595187644088051
48013811871213926081033,47775629865628409650567,2293890104397031923421281824545231115256395711
50613135354556990241153,58098271439675693559409,2940535676242098494205951174293553747842158577
80132823338119143395483,38465972598212591124709,3082386986741501385749440107461923380160289447
80499389753619913604369,148343429456473827135361,11941555545205307669651793804136426475563992209
68825913377208632785033,245929688764984477860491,16926335455822700779865065458515156566566831203
86375118490564381527713,209720195111039534865283,18114606702580320735172342238741479347186087779
392779090969101571679227,136372373124069346089883,53564216748971095982240882035060572242785960441
196470028720539803232209,290439234904263422694683,57062604823212241145031499207540723087958644747
437997692803330984841579,337156846930321654471901,147673921068326711366930913058685398329391971679
587638421275194685318991,317942063370822086164187,186834972176207794264452874358445207833695175317
513328414788568614709531,761211691520555391883813,390751590926771596797929410146898454203895721703
718469155701358883981749,1257550406330710610806339,903511178688326452630466426429695461807849506911
1070826625035057237551777,1141280705084134381801577,1222113765642874109902438166159499788650077752329
922467480750246442409767,1430798840526914423953459,1319865401881236360749336061309074331103015034053
1178167016563687108879883,1618735895051314666463003,1907141240077157124185316790390998652736790468649
2105399435608457169545627,2239648057445361977795597,4715353756107042569232899241117185331143571204319
4395487646752748496794653,1575984318109373044658581,6927219601725803121030975862598581299301251367393
3054971431322634619279541,2740228960584816048118087,8371321189869530806828131586113001729160831158067
3950052723228365626898119,4260379261613164679640067,16828722704320734696361704997220288204050599333973
4743335290714713248784793,4456678362589870179632047,21139519756637194090882825540233785744142629061271
3862175628948146108476421,7125659772198449390016821,27520549512361049796851372923348568342523871877641
14063784090427333623678013,4769956024452119120343041,67083631648727726444179148205748309354508689257533
8065185040639896829703107,8598209217436591325272703,69346148356761670324544885541818219626897301388221
9306320744632584407318653,8987741942514296151886523,83642809287025155204699328782404638094933957213519
22197737597354095398752759,10746364039176209637397027,238544969067275767635596133245375899350019094647493
24072238071228449169353863,24025680049229989115561011,578351889968227944872931656840039410570149625035493
42584854060113922552455241,17848249460956928638558061,760065098523357792154279609127019573059637482247701
47082345834086113174826591,28930186479393804672545813,1362101044867421296475913010763170597015924778113483
24757461812421557849862677,80486679828889022921251069,1992645902272320471050118176088817820663226689451713
68579283116926793240033413,39073226685676811026359239,2679613875168889167811299217110544447803568101252707
50897529384199791769461959,66421040170782693190685117,3380666843821526882096776991282383764011077678964203
55257751872831550844392057,91052121154495038588071053,5031335518250083487984403690974952129797842104826021
154831202407036447003939571,214013935296030263569439267,33136034933746063369060266956475148263444868422534457
294284256963377733766021199,190281156236611115964968773,55996748677223491296685185373944786696745030491018827
350539399549950525576754991,193254334291605038395336363,67743258303004643618127228882091882678697453484037733
315824705852008681799573903,338146272240164757168520841,106794946965203283250927354552982729713702158575212423
314305168796461756249534711,418531215307144409982411181,131546524273700302168563005265605602913520325134003691
487519260086710672824830993,376786791793129718257508569,183690817945432109556800853479829613151899390674279017
627179602308859869698113591,564963176392457886211644727,354333380288971985920787534822709350915241449382184657
974251507108341701885545507,481603864872989698810711163,469203291181712360016807449911213918858216776869394641
1436646625224178997075347561,518313723884446331362397623,744633662225966762736223994383644794542878599005247503
968939392113299965730291923,2503962620262818438029514707,2426188019151881056616416955157589271778515881131811561
1946567703368960846038348487,1527523009613408756346027589,2973426956666416182810581221055956955695202100498407843
2948605895314168110366614021,1676822790622805080040719651,4944289565827558027993651943650401925487484684986826671
2628947521075388837014651109,3167845826212339190891709797,8328100431969946148185771071420442270168062336432214873
