p, q, m=p*q
13,11,143
61,37,2257
149,107,15943
373,223,83179
1777,3163,5620651
10357,6689,69277973
12197,28619,349065943
79229,110899,8786416871
439441,426161,187272616001
1907431,1298537,2476869728447
2985397,3892477,11620589158369
9385199,28756303,269883626159297
61241891,63629047,3896763160807877
480525907,457412077,219798353173178839
1564841647,975492437,1526491191751123739
3943807051,4360792729,17198125112579732179
6991521461,10396567667,72687825964569201487
95304073367,76447630117,7285770549403846793939
158033568493,130570880351,20634582163141066381043
436917530677,1408981298243,615608629598405238700511
4320175880389,4819786725749,20822326361199901770436361
5824924088441,19797042537407,115316269956033171118812487
33338002388689,37423936554397,1247639286244632770186015533
166723077388247,135271033954577,22552803062397128793191656519
403679893181921,815261620052353,329104723698053722619773110113
1837580369778467,3941872149073717,7243506881314321279334542251839
9404893335841109,12096965061650747,113770666092221840744111243158423
20693805302880041,46414495758252613,960492538452631092416342513797133
76130659822372277,155199963120375209,11815475596762008050051716719680893
327373899421320107,638181640887311429,208924012316375719363069297208602903
812369857041256817,1244760453317565941,1011205871512201073309600297913269797
3284345488665663061,8814134421224712941,28948662622842121080766465993152372401
14669945699948687429,42766064060428372253,627375837567011302992405382958353507537
108152227315909504669,87730865628977684969,9488288522126706667734713554411116620261
160175031449556101981,446886611870566002197,71580077110753480649478277962866002052257
1146357934288234052381,2310420342706978827709,2648568691403086034396162499966133880225129
8792305781174276928509,3306138347882736497947,29068579309451356857493925771774994344271023
9670207488920435542009,30552127458196202756323,295445411748700590863873787320105820256872907
96398410229410720030121,89970574692965180727431,8673020367828295929323916510646873669010949151
204208996325512347068611,465320643552803698370507,95022661589459531051677735442637223698827855777
992785581777172514345033,1727443275025030950194663,1714980776782789574871612221556509536931297158879
2228167320517139332127989,2768771968422835902396713,6169287218003675786007948389596683704127568900157
13448057004911517202914781,18880754020704232327549063,253909456366142844658813725795366559776309385400203
84179096165308627229931491,35263391506274898678554567,2968440424721642139626247608601925124383490315169397
325246183161610741018737131,277640957988358409982868129,90301661875046692240527621361308090635774296888797899
1077255422758679433383616377,384049144038155331130100003,413719023020931992328436173847546083400702577798549131
4690102254742564302582532163,2186564294463386514446625133,10255210127602313402249391198624946360707425452776652679
9725588641205115143130754531,12119828296854464213486870119,117872464417244113500658375374082194415571871594067759189
39638580509885605117919627101,51656551700187496324155062503,2047592383430950209999927867916883016482142504255107693803
258934403021135109095256387697,115173384023721557754786099319,29822351436106281431676773249600257588058572305037011678343
466415678401537095447354306557,381573395232926287350374367881,177971813997543155060362255745868437930921291932751968495717
2265669649031091228266626642937,2149609375674021999404713091053,4870304719737304557592716321074128306727476846967117800342661
12531826175486631074002737675743,13937077659428852593200218338193,174657034622220445547550547149735272533703081693768774746552399
21698124954671120907763739974961,16657820671457196587410093048127,361443474401781844546560528526969895617623226003604195147948047
151060333303702599428496117357001,151409924396357095721581973547991,22872033644802114485060769046849016580596186220820342789553334991
