p, q, m=p*q
7,11,77
11,11,121
17,11,187
31,13,403
31,29,899
37,29,1073
47,29,1363
47,47,2209
37,67,2479
47,79,3713
97,149,14453
163,167,27221
211,131,27641
223,191,42593
193,307,59251
257,557,143149
439,443,194477
683,317,216511
431,607,261617
557,751,418307
691,631,436021
677,1009,683093
1087,2467,2681629
2749,1103,3032147
1933,2297,4440101
2579,2927,7548733
4871,2417,11773207
4391,4153,18235823
6907,5923,40910161
6653,8731,58087343
5903,14759,87122377
7639,14851,113446789
11927,17903,213529081
13171,17981,236827751
22481,15629,351355549
33961,26249,891442289
26777,59509,1593472493
74377,21569,1604237513
39703,55787,2214911261
39397,114743,4520529971
93997,63521,5970783437
106331,175727,18685227637
132709,141371,18761204039
130253,149333,19451071249
280249,205433,57572392817
199777,303463,60624927751
237043,365851,86722418593
477767,405541,193754106947
467587,484691,226635210617
432857,787697,340960160329
570839,1145741,654033646699
1604809,622723,999351474907
1330547,1148087,1527583713589
2043149,1359307,2777266737743
1914379,1615121,3091953724859
2252353,2562827,5772391081931
3729721,3455597,12888412698437
3128101,5477581,17134426603681
4055477,5473109,22196067667993
7012829,3795221,26615235890209
8374529,7937261,66470822425069
18794957,5970443,112214219455951
11612147,12833537,149024918173939
23324827,15721603,366703670137681
19057739,33332927,635250222872053
30721447,29330669,901080593158043
34544399,33409249,1154102427746351
45996877,56689123,2607522617868871
78771167,40904387,3222086299409629
90340739,51427679,4646014525914781
65362597,165451081,10814312330617357
104842679,130432297,13674871445603663
177327529,160007011,28373647883305819
257312147,116039543,29858383946228821
142367581,234986483,33454457152407623
135943103,344473741,46828829253558323
318089309,307934213,97950581030628817
493811543,236467001,116770134632392543
311976799,589495637,183908961855725963
715883321,496947569,355756476058596649
464775859,772039687,358825408707516133
877550417,1251335143,1098109676546404631
1828883491,1275075673,2331964848125414443
1796066479,1907760133,3426464024853881707
2777015023,1915932101,5320572227524953323
2153012273,2702027261,5817497854913574253
4354092283,3618841579,15756770192523434857
4684856003,3960680657,18555218551912433971
5225461687,5179018717,27062763881939395579
7134268289,4764099583,33988364580635023487
4975874467,8750560537,43541690747996108779
9257845117,17735699011,164194354485568079287
16232419969,13865080037,225063802064382058853
24753205481,9370776221,231956749314881667301
10085183369,28965229481,292119650641049701489
39182947079,24609793867,964284250715759764493
31528617599,41560430861,1310342931866147322739
39798460661,33242056129,1322982663140760441269
68180057563,34311002533,2339326127744178807079
66305981591,52267554791,3465651525778629852481
61990714267,118130542979,7322996736016751981393
121818483637,156051604757,19009969860618195861209
141604726807,157370783863,22284446856323559115441
197667906571,168767858813,33359989348035802960223
321707487251,220619371571,70974903667001114341321
331720872563,316990959071,105152517537614339868973
270146109463,404524034543,109280594116067671180409
453535865039,351495015727,159415596014641854468353
525053265199,358785003727,188381237711296734396673
483870405233,883668163627,427580872425697441060091
539647934857,918786802303,495821400436680681575671
701044619647,1374370422707,963494990240715427124429
1480110129137,784773544319,1161551272025296282722703
913046461079,1744669212109,1592964049869609664005611
2326210766977,1476542523611,3434749116323299441593947
3371069044687,1411657913213,4758796292919791864749331
3160727995511,2716959113147,8587568731582461557083117
2376536632069,4443511344757,10560167485829193921212233
3713838092813,5658399462047,21014379466502735656968211
4977368541697,6266820826787,31192276839701198024037539
12501887412611,9451373230331,118160004020163694537104241
10829148881569,12679344705947,137306511541433776232990843
13798775782133,15914611968509,219602162213105979240849697
19436675130329,12390408704753,240828348726284592356753737
16079839146871,41667984323387,670014485494405420253172077
