p, q, m=p*q
5,5,25
7,5,35
23,11,253
23,19,437
17,29,493
31,29,899
31,43,1333
37,37,1369
59,29,1711
59,43,2537
53,61,3233
53,89,4717
71,97,6887
181,139,25159
251,113,28363
193,223,43039
233,191,44503
233,397,92501
409,307,125563
373,367,136891
307,641,196787
823,457,376111
1511,839,1267729
1249,1097,1370153
1471,1009,1484239
1367,1303,1781201
1823,1151,2098273
2503,1931,4833293
2903,2011,5837933
3581,2917,10445777
2683,4507,12092281
3449,5039,17379511
7507,6143,46115501
8191,5717,46827947
7753,9371,72653363
12907,6761,87264227
6481,14897,96547457
14369,16787,241212403
22391,12553,281074223
15107,21751,328592357
32299,21121,682187179
21587,43313,934997731
38083,48847,1860240301
70529,45631,3218308799
90887,45779,4160715973
67619,63977,4326060763
51749,101663,5260958587
165779,53129,8807672491
110849,82757,9173530693
190313,99689,18972112657
244217,151597,37022564549
301577,264071,79637739967
453379,183167,83044071293
373151,252713,94300108663
316033,349171,110349558643
458917,354533,162701220761
325729,828517,269872013893
501911,961567,482621054537
1263751,618029,781034766779
985597,1082197,1066610116609
1685297,1248799,2104597208303
2007251,1421933,2854176436183
2284423,1461479,3338636241617
1874099,2358911,4420832746189
2963347,2379791,7052146520477
3266447,3744731,12231965340757
4750363,3033323,14409385346249
4768063,3038129,14485990474127
5361361,5588771,29963418877331
5482331,12431843,68155478266033
8309999,12158087,101033690811913
8718649,13421021,117013171320629
6631189,19435243,128878769593927
16167427,12147529,196394288337883
25252897,11309171,285589330418387
16816313,23302787,391866959964331
26782403,37645639,1008240674890517
29205811,42569099,1243265059834289
41793613,44026159,1840012251122467
52700551,56337607,2969022930921457
53403199,75395543,4026363186542057
81085099,62070523,5032994502436777
136588783,100317179,13702201393603157
101782481,140101979,14259927015629899
152779427,99162823,15150039277642421
164527537,167155691,27501714135763067
120388547,344611357,41487260548928279
290867831,333534533,97014466177307923
400378499,323992453,129719612019468047
462649351,439519463,203343394308818513
591008387,389953127,230465568593876149
901136507,1030589629,928701938427485903
882082667,1077655973,950581654772319991
804345679,1459225829,1173721990241342891
1088454319,1087320659,1183498867426476221
981809293,1449897409,1423522750052821837
957960697,3141700151,3009625266416965247
1381722247,2633424109,3638660677191452923
1711490491,2367554989,4052047850593109599
3354770561,3315228611,11121831347167720771
3770952943,4154543311,15666587325436414273
4180009429,4390822549,18353679655885814521
5885617931,4446574861,26170840733435432591
2865866593,10317933719,29569821554070349367
12088467103,6590874523,79673569851286316869
6251344201,14026345477,87683513458866528877
14341535261,11478858563,164624454837296289943
13554729299,14083021679,190891546570793473021
15537581251,12543490859,194895508392888284609
15791933191,13980580049,220780386105235506359
14674763659,23866019707,350228198681261427913
66648286603,22297304899,1486077167383027968097
34860284089,46208748191,1610850089335324832999
37748082467,71132960027,2685132841221010546609
31757356049,103212969781,3277771030209894555269
70146149221,69930949589,4905386825036222620169
123610490249,46411192559,5736910265258730857191
133913059487,72872204719,9758539885484289119153
100857548497,213205908407,21503425247005942514279
115519083233,217358337611,25109035893871623376363
148735476947,173277176399,25772463475734716973853
169208968459,245695658557,41573908939284646453663
434467709981,208135452809,90428133547784723786629
389633886937,320919501673,125041112830736064345601
235798007369,699905577499,165036340520713402590131
414315580823,832738613857,345016582473902871264311
723446175847,988519942337,715140972032199602134439
1177371576757,691923643547,814651231198379818237079
1086755858329,1279090607797,1390059211356991034791213
1317967053049,1115017668593,1469556550773082732190057
1005529338119,1874112936581,1884475540680548352831139
1907442785221,1069966919107,2040900680275788482117647
898035821791,2643019662221,2373526334372406971257811
1573278165079,3174504941983,4994379310157231591611657
2205021342863,4479304984339,9876963091660110964422557
4309255034429,2438234552077,10506974518656550028459033
5257421756669,2058821439737,10824092630369898261356053
6665527606571,8538469123031,56913401657417206763036701
8436704929511,9899943225101,83522899809088634210855611
8693480004479,12304853033521,106971993804967579817140559
20990092975807,7421753448631,155783294930280931500270217
11894900230039,13949177980681,165924080371257380397876559
13399415760161,17006482472989,227876929273470624584791229
17240095987717,26968512015989,464939735801549661851607113
29184263441947,23226069102193,677835719399265950265889771
35591721871417,26196304333519,932371577897604129601126423
45702145266779,22664584257053,1035820122126988602197342287
40769776562237,44850197402167,1828532526858570941394167579
60474461218939,37694174904557,2279534918445535978205805023
94475144686177,51002969751757,4818512946721951603359362989
123920421994307,52509487498277,6506997849491273600566309039
67131608068241,100148631580451,6723138683829499762889556691
125943250734647,73127200877903,9209877395688635748098805241
113842800868613,85770474129499,9764351006731077602246514887
128879940473419,123523055914757,15919644093388688882688344183
186380191149539,275804883495931,51404566905947953975919025809
400193877940663,149951894473847,60009830154037904946271340561
284932753794331,219185190128153,62453039814148648354894900643
325734014112733,397490879301689,129476299688139014245963306037
335007037721729,429377489489239,143844480818182786886421974231
273469093075819,785761830320183,214881575111256020817064954877
606513451015349,532852353686407,323182119915994032137289661043
602062889913959,863859395791591,520097684309611788884685718769
529653549499121,1638419799811957,867794862540042286587336789797
2000994066292139,814547821642579,1629905357817988138003055386481
2186786775089513,1341354616495573,2933256536057784558233443225949
1538070290717221,2622364979145679,4033381665841253684484753038059
1607817324344681,2675398660235393,4301552315455013868956927494633
1720402667711527,4414133563386889,7594087158085792600388945969503
3075946400693759,2789266260013391,8579633513064732569523030126769
6200891109931589,3716243777732309,23044023003678858884794545009001
6672366842778493,5997526319704583,40017695754288183101842665933419
6527668982990291,6536040869715367,42665111256797886783557694501797
8220963036517997,9370195004813801,77032026779539832985568370476597
11540236012611623,8736953783363101,100826508691290226516035101922923
7584061962271867,14409981464456609,109286192301628021747204282919003
14826219994859263,8359303779607747,123936876840322988492270609510461
16866897750936173,9852546086825051,166181887432864444983276518469823
20729490864152867,22640377334241419,469323495111131136092849498998273
34959777299129311,22741812220428683,795048690604804222471903070427413
33067386304997237,29015206511711633,959457042442039906157794205758021
38568390772552387,42129134035776913,1624852904401080995162467537641331
63268015195331729,37732545570693607,2387263266525190053974978984556503
29501091677964761,84347501557698749,2488343376260946279347519075783989
41992291520133707,89161681937559397,3744103340347434177146238694294679
83516564225962187,81224464141908247,6783588176227042748111973845456189
128744693118039437,112185964300996147,14443347546083076605089554731049239
142431418014374501,104165855801321009,14836490550463009783442706645191509
106767984303912751,231554183623166263,24722573442583546547799398318719513
133960077020046481,194277437304102161,26025420464514776859071772192545441
176421651027669067,229396489825020599,40470507474882022031122262230111133
155822510830862563,290695735377546607,45296939374353313693681716543973741
277421926035946187,312613027015753169,86725708058637522812327809358716603
253750384213623023,701897411458224061,178106737836071802308370086122156403
604633334660135713,324588973625275679,196257313516961273998943341178224127
415508876676014809,583868338227428929,242602477343570469806636569999009561
981775975336317311,553816678016594263,543723909217261034673725220910186793
1528945340849247809,930138357452743553,1422130707972544487707994303424125377
1413046281239450983,1059894085871118541,1497679396547871380407921766951975803
1328916023442798953,1215707756060520641,1615573516852515359084708687469688873
1931405705579849101,1887280941750833791,3645105178929671229852831994711771891
1085665088020734751,3618357298587487369,3928324195061452487779517674311860119
1737021169553728283,2266626269316755231,3937177813269794074949947496192898373
1874950334799959051,4328340132120923741,8115422779848224961073148267093729791
2345277890786405719,5389806249707342863,12640593433061024646314995573757033497
3917368008242019167,4492624181289093571,17599262240836388516353519980238475357
4415979318958978847,4810991637841886513,21245239576394356209295392030541590511
3578787186673437721,7659141815193315287,27410438589128571870813101803311740927
5018862744322028527,8636621888047576211,43346019830718157769752502857148571197
11917322129817145493,11282012152771553029,134451373097090402976807180757257848297
8334068972027138699,19731735857411785751,164445647573490873494702623344548877949
11471341004563325863,15015922991553740041,172252773134375621579838493483473980383
