p, q, m=p*q
13,11,143
13,13,169
17,13,221
11,23,253
29,17,493
29,23,667
37,19,703
23,47,1081
41,31,1271
97,41,3977
97,127,12319
139,97,13483
83,163,13529
127,127,16129
191,89,16999
127,173,21971
149,317,47233
223,277,61771
379,401,151979
563,563,316969
787,479,376973
683,653,445999
1087,541,588067
673,947,637331
1171,1693,1982503
2591,1213,3142883
2521,3517,8866357
3163,3229,10213327
4271,2909,12424339
4987,2539,12661993
3833,3847,14745551
2411,7793,18788923
8311,8009,66562799
6247,15161,94710767
12433,8689,108030337
15451,8501,131348951
11483,13309,152827247
27031,19777,534592087
15859,37781,599168879
36847,34313,1264331111
58537,31333,1834139821
59951,41801,2506011751
86993,37633,3273807569
52177,69191,3610178807
105361,76343,8043574823
69557,138547,9636913679
84761,128591,10899501751
166867,113437,18928891879
220141,277919,61181366579
266947,271939,72593300233
320401,380971,122063489371
310019,522157,161878590983
640771,361961,231934111931
807637,517711,418122558907
996803,575087,573248446861
594521,1097293,652363731653
511243,1476511,754855913173
1036271,806929,836197121759
1844641,1449967,2674668576847
2006437,1508531,3026772414047
2027677,2967187,6016496834599
4374787,3191137,13960544662819
4404583,3191389,14056737735787
5327461,3259073,17362584303653
4303969,4246409,18276412697321
3368461,6874397,23156138193017
6818993,9265043,63178263361699
6586319,14686577,96730481140063
18730429,7863059,147278468322311
20922647,12390643,259245049592021
35484217,9587827,340216533826459
19209647,27367499,525719995062853
25721299,25333459,651609473643241
22335839,48863429,1091405683131931
67282661,31246909,2102375185544849
53795369,46389769,2495554741179761
60275317,63399691,3821436472727047
65012999,82411687,5357830924519313
134184727,43315501,5812278676553227
141735551,160585897,22760730594124247
209279177,110669179,23160754700385683
183718729,220388417,40489479857561993
286833431,236167691,67740789100877821
510441601,159212297,81268579779567497
276484657,389611373,107721566827204061
546764473,220339051,120473565101335123
371343443,597940501,222041284350484943
515372111,793913189,409160716165671979
745974223,663594433,495024341544300559
1229323609,735955079,904726953778160111
714890119,1449452593,1036199336694628567
926530987,2319644827,2149222811049754249
1815519883,1397000477,2536282142553984191
2254188637,1501225091,3384044541711490967
3433742687,2904366877,9972848524263778499
3242369687,3138677537,10176752903236620919
3265217299,3220707977,10516311401527694123
3521691071,4154814343,14631972573405831353
7325922589,3423234259,25078349185446776551
4417712207,7770583757,34328202718814821699
13038369797,6511963277,84905385310009944769
8846713517,11024976133,97534805380413489761
13452785771,12024400043,161761677803282188153
14070698723,18299146699,257481780089608965377
17371885819,17412096043,302480944328457714217
25415613941,20082401377,510406560406038796757
47536142999,34580159261,1643807395559090163739
