p, q, m=p*q
7,7,49
11,11,121
23,11,253
23,13,299
17,19,323
23,37,851
37,23,851
47,37,1739
47,41,1927
37,53,1961
53,61,3233
47,89,4183
131,107,14017
157,113,17741
263,97,25511
83,331,27473
167,179,29893
229,191,43739
211,269,56759
269,281,75589
509,197,100273
557,443,246751
449,607,272543
557,631,351467
1277,397,506969
769,661,508309
557,2027,1129039
1009,2129,2148161
1051,2467,2592817
2161,1801,3891961
3343,2129,7117247
3329,2267,7546843
2999,3511,10529489
2953,3709,10952677
3067,5381,16503527
8209,9403,77189227
15173,8209,124555157
13781,10037,138319897
15101,12941,195422041
9293,21341,198321913
26399,13001,343213399
27449,22637,621363013
19211,33457,642742427
30661,56591,1735136651
61813,33071,2044217723
48221,52361,2524899781
49307,90833,4478702731
76631,66841,5122092671
59539,107837,6420507143
86923,83653,7271369719
117787,102181,12035593447
104147,213943,22281521621
192497,227281,43750910657
215503,286973,61843542419
215239,432373,93063532147
363659,285301,103752276359
424423,483097,205037478031
507401,437219,221845357819
643661,538147,346384236167
629807,857407,540000930449
711427,769429,547392565183
1314371,712601,936622088971
878147,1429943,1255700155621
1477807,1602187,2367723163909
1677877,1495961,2510038554797
1749533,2380253,4164331171849
1877069,2331599,4376572203331
2405497,2064649,4966506975553
2572433,2599397,6686774622901
4358719,2999387,13073485105253
6142373,4826153,29644031881069
4691699,6525793,30617056492307
4701107,17004707,79940947110649
11602883,9880667,114644223162961
14805853,9167989,135739897439617
13150957,14712461,193482941975177
14197607,19117181,271418222785867
23512561,14323577,336783977950697
20703439,17570513,363770044094207
14469799,41663717,602865610582883
40047587,23564461,943699802005607
36772579,28620433,1052447133506707
55190899,22373111,1234792109516789
74241491,32674951,2425837080591941
98045989,82611887,8099764164071243
117936671,70600693,8326410702713003
54992879,162546331,8938890712576949
107581169,93449683,10053426139819427
127398077,144930601,18463879865854277
203887561,183282391,37368999675238351
261163687,143294453,37423307672128211
279189199,258658703,72214716104948897
263596589,403501123,106361519680469447
360516439,392112887,141363141707249393
393686509,520740371,205008458754354839
462895487,655902701,303614400204010387
516789701,1057983337,546754892391212237
1173106049,894702769,1049581230370949681
981596809,1310957111,1286831316893458799
1207229929,1161635323,1402360928509182067
1906191389,1893721421,3609795465875043769
2491283423,1629919559,4060591578160170457
1696510201,2542252589,4312957450757160389
2324286299,2500635311,5812192392152903989
2386492253,2715153731,6479693344735545943
2926060229,2901799063,8490838830793765427
3273269383,3044543303,9965610378927592049
5042124359,2767606903,13954618181752850177
9441892589,5758428817,54370466371516337213
12327540229,5903566121,72776448851188981709
10085176477,8930423633,90064898353176480941
11929214027,9702188311,115739480892176638397
22578675853,13556533717,306088580486408235601
17217826651,18611372123,320447378951067850073
20775085411,27133216157,563694883136800185527
32047376167,20904472453,669933492273980227651
20881979399,52348134463,1093132665432447927737
37116659659,35065988719,1301532368889456386821
51410406491,33560760577,1725372343410697705307
38029196423,55225495733,2100181224787805363059
44762670283,74992385491,3356859425469266063953
42067562417,97581695221,4105024054466088109157
97530694769,103125281029,10057880307006745237301
122700697907,151251469513,18558660868704433409291
200769517153,139180152679,27943132050643649402887
160520800577,212463794957,34104858460125215290189
297638429149,171010711457,50899359525714377060093
207916444933,288548045171,59993883744321018068543
222798220759,269279482499,59994989587681478996741
161713480661,425754767341,68850285334727357892401
183989802397,508693819913,93594475406367973731461
417677763029,414520360019,173135936702711647937551
581407353203,435033137239,252931464877724445226517
464766556831,604892356771,281133737909846499152701
406596029599,803993396431,326900522812659416961169
674848137833,1059970680943,715319240191960530416519
620809030741,1852077846869,1149786652971622111599929
3034785992729,862658969611,2617985357477494877958419
1767359656357,2041397799647,3607884113672057855905979
1105721494879,3505075914323,3875637779649605287251917
1569851053357,2888311932221,4534219529220728838515897
4622804863643,2296872291127,10617992398588736233795661
4164343169039,2654307575131,11053447619025252125569109
3146890312997,5523379764029,17381470274426515811784913
7411656084941,4698898958869,34826623061024353529291729
5294176969313,7392406617307,39136708861143739473700091
9749602605619,11266313848313,109842082851233847927470747
9940994882197,12312316640233,122396676708545214665631901
7659389326097,21997395008591,168486612530741331015499327
9974181684809,17808431037479,177624526689207180043956511
13054997872817,18948271358431,247369642277875991958670127
12148032941393,27735259443299,336928845355277530673575507
42803363362187,16177154855579,692436637449715697854591273
31151378130833,28609857043181,891236475021207079948499773
21644894177479,59896335395173,1296449841247309406261908867
61237740630629,27115009419571,1660461914032751084794640159
66195977116931,39160609609553,2592274817599038610535641843
50107515487699,53849157997673,2698247518367950318902124427
