p, q, m=p*q
5,5,25
5,5,25
5,11,55
13,5,65
11,7,77
11,7,77
11,7,77
5,17,85
17,5,85
5,17,85
13,7,91
7,17,119
17,7,119
11,11,121
7,19,133
7,19,133
19,7,133
11,13,143
11,13,143
13,11,143
13,11,143
13,11,143
7,23,161
11,17,187
11,17,187
17,11,187
7,29,203
19,11,209
11,19,209
13,17,221
19,13,247
13,19,247
19,13,247
23,11,253
11,23,253
17,17,289
29,11,319
29,11,319
11,29,319
17,19,323
11,31,341
19,19,361
29,13,377
23,17,391
13,31,403
29,17,493
17,29,493
23,23,529
23,23,529
23,23,529
23,23,529
13,41,533
29,19,551
29,19,551
29,19,551
29,19,551
13,43,559
31,19,589
37,17,629
37,17,629
23,29,667
29,23,667
29,23,667
41,17,697
37,19,703
19,37,703
37,19,703
29,29,841
37,23,851
31,29,899
53,17,901
23,43,989
23,47,1081
31,37,1147
41,29,1189
53,23,1219
23,53,1219
29,43,1247
31,43,1333
29,47,1363
47,29,1363
37,37,1369
37,37,1369
37,41,1517
29,53,1537
53,29,1537
43,37,1591
37,43,1591
53,31,1643
41,41,1681
29,59,1711
47,37,1739
43,41,1763
47,41,1927
41,47,1927
53,37,1961
53,37,1961
71,29,2059
41,53,2173
37,59,2183
47,47,2209
47,47,2209
37,61,2257
29,79,2291
41,59,2419
53,47,2491
43,59,2537
59,43,2537
89,29,2581
47,59,2773
53,59,3127
59,53,3127
53,59,3127
67,47,3149
61,53,3233
41,79,3239
83,41,3403
53,67,3551
59,61,3599
79,47,3713
79,47,3713
59,67,3953
41,97,3977
59,73,4307
53,89,4717
89,53,4717
67,71,4757
71,71,5041
71,71,5041
127,41,5207
89,59,5251
59,89,5251
61,89,5429
79,71,5609
41,137,5617
53,107,5671
67,89,5963
113,59,6667
67,113,7571
149,53,7897
89,89,7921
157,53,8321
83,101,8383
97,89,8633
131,67,8777
149,61,9089
127,73,9271
97,97,9409
131,73,9563
79,131,10349
179,59,10561
113,97,10961
131,89,11659
107,113,12091
127,97,12319
113,113,12769
167,79,13193
107,127,13589
191,79,15089
101,163,16463
127,131,16637
107,163,17441
103,181,18643
127,157,19939
107,191,20437
127,163,20701
151,139,20989
127,167,21209
101,211,21311
97,223,21631
149,151,22499
149,163,24287
137,179,24523
157,163,25591
173,149,25777
173,149,25777
293,97,28421
191,149,28459
149,197,29353
179,167,29893
157,191,29987
179,173,30967
229,137,31373
211,149,31439
127,251,31877
179,191,34189
163,211,34393
179,193,34547
149,233,34717
191,197,37627
211,179,37769
191,199,38009
131,293,38383
149,263,39187
211,211,44521
223,211,47053
