p, q, m=p*q
5,17,85
11,17,187
13,17,221
19,17,323
47,19,893
37,37,1369
41,37,1517
41,41,1681
79,83,6557
97,89,8633
139,97,13483
101,137,13837
179,193,34547
293,127,37211
173,479,82867
347,239,82933
331,281,93011
277,359,99443
463,337,156031
853,1031,879443
1249,757,945493
739,1663,1228957
1907,907,1729649
1741,1361,2369501
3299,2027,6687073
2917,3793,11064181
5573,2633,14673709
3359,4783,16066097
4561,4073,18576953
6907,6211,42899377
8111,17011,137976221
9187,19447,178659589
14303,24793,354614279
16871,21529,363215759
25391,23609,599456119
29453,35363,1041546439
75743,22291,1688387213
31013,67409,2090555317
107467,47111,5062877837
88667,116953,10369871651
110119,109919,12104170361
92077,141601,13038195277
150287,120331,18084184997
279047,171653,47899254691
176401,386039,68097665639
312217,235397,73494945149
496493,209441,103985990413
839599,346391,290829537209
593029,518953,307754178637
635333,721571,458437868143
846823,730111,618274787353
1623463,974089,1581397450207
1547771,2342771,3626073013441
3134303,1985939,6224534565517
2203457,5300329,11679047037353
4167949,3915683,16320367044167
7093091,3469363,24608507471033
4199071,5885879,24715223818409
5302207,8511121,45127725344047
14942579,6061813,90579119635727
10045001,12681853,127389226066853
10664221,18254969,194675023764149
13469167,23093843,311054828038781
19781269,17795359,352014783330571
27694031,16473851,456227340283381
30181831,36596809,1104558704377279
24258379,46044533,1116965732392007
57010573,43559809,2483369670860557
107077151,79579289,8521123544725639
75908333,117066451,8886319145636183
97521283,147984751,14431662781955533
183388397,83266507,15270111242519279
178284781,94453591,16839637786098571
139323991,242235761,33749252985442151
405935567,158857663,64485975502199921
338740153,324584933,109949949865914749
438709721,605204791,265509225007473311
634329643,1069479727,678402693423647461
918024971,919591859,844208289690311089
1144068169,1110429821,1270407412114467749
1118952619,1398355709,1564693782879151871
860522237,1867461059,1606991768001068983
1706477953,1628375941,2778787642512128773
2180538749,1558139599,3397583771970821651
3823842563,1496607911,5722793030204315893
5638659479,1572114977,8864621017138916983
4296338687,6095612507,26188815834785158309
4964144831,8847233737,43918949624177363447
8242712767,9170051237,75586098405264042779
15122718757,5287965127,79968409412444787139
16503593147,11173269893,184399100435696223271
20000067457,9349698773,186994606162630130261
13605055439,24988691537,339972533708955119743
23541952991,21920606957,516053898515881558387
37951964989,15059265587,571528720317876533543
33943100567,44702975189,1517357582484332832163
64396648273,73298793067,4720196595971009923291
88235455639,56422001861,4978421042269840944179
60402611317,94549725691,5711050331042442245047
95801582581,101204551649,9695556212374753226069
183975380471,153897556987,28313361600240729400877
140436805687,211892386291,29757489880103909636917
156847258409,197068689451,30909683658643969343459
113119612997,334368411743,37823625334789710223771
196600580681,242614871347,47698224588666308647307
402899747977,366950963657,147844450777322586271889
515007822683,341706467471,175981503808939075444693
427022253839,769975083707,328796495644435827101173
524271283141,1058329647577,554851842321356111599357
1305073270681,908582034509,1185766127458657839930629
930861926959,1627450785041,1514931973794202551820319
1490545257479,2477402038861,3692679859893068808891419
2020100524357,2803834181039,5664026899326963567066923
3368666083661,2327758825807,7841442207438594587839427
4160981828279,4309136623007,17930239183903662834614953
5600203145921,4080774679871,22853167200008335874456191
5300435126543,4456025353007,23618873305844474290564801
4392251081753,5753627225891,25271375406923257239266923
8023128183527,3653444582897,29312054199994965781337719
5943495454301,15998791540489,95088744795205664690693189
15562588017719,14135237614819,219980879531993066868977861
15445048816073,14643521667811,226169906998563607943526203
9390086314783,29688942954497,278781736937395446787429151
19509402432827,46632965181391,909781284359766358747922357
33498953602979,42355266949649,1418857122388081727529404371
56113068368059,41835153523921,2347498829876023470488839339
52042596615817,53868355708837,2803449106512346828400874829
53568440512591,83012882368259,4446870650922796531988249069
64430675482039,77203023550819,4974242956635033242238239941
104596478594591,125761920379493,13154254012988297226017122363
81179047081663,181514048857397,14735137518177909132500611211
161396289737549,198307838048371,32006149286881829539956982679
350302657058213,150353283862049,52669154834303501877654458437
313567941534307,233636402845091,73260885907615292322583036937
270184394032951,404450979070783,109276342696273252171863370633
284317556966033,431700866584769,122740135727500872154048151377
1006852218539689,440142501444733,443158454053237691930000508037
664717863403267,735648978020581,488999016884637528757828638127
398291140635769,1388900898166907,553186922960941434430656296483
604933860172891,1734497548608397,1049256297540094241298874365727
1782374653233953,1043874768461869,1860575928456896736312416638157
1714676159307253,1371024655589041,2350863290760966142877218614373
2489519295595429,971151985309687,2417701606384274392371626620723
1429719652948369,2682285063459059,3834915670037279753075072324771
3224385000595651,4384023982359473,14135781170971497618221402451923
7587010691441173,2578648997562289,19564237513979149895633246724997
5177622906021481,4081516306455457,21132552319603964883677011671817
4049510748849289,8531293065640603,34547562970895024710125886081267
6053079290419219,8805864361198211,53302595199009556240787342817209
9147603395523317,13535984833919557,123821820828514661745428295810569
12242796461988973,16736388477633347,204900197640442554629075451082631
14710372773324623,16121656176260519,237155572076163488045355405459337
29332570790877257,30943257999237401,907645305763010020530753794689057
52980360526681013,22096328464471343,1170671448363655621071981440710459
33223626115975657,36933707104448071,1227071675915136594209378656607647
48302055834690907,25547663921340541,1234004689174509255346667823160687
82579252169179643,38442549305262577,3174556973105400039726624798120011
51441555579340411,63652431733668223,3274380104787665206939555850459653
